"","min.RF","mean.RF","max.RF","lower.HPD","upper.HPD","plasmid","method","alignment_method"
"54",0.2,0.932808080808081,1,0.8,1,"ColRNAI","PB_Unicycler","roary"
"55",0.6,0.918,1,0.6,1,"Col156","Illumina_SPAdes","roary"
"56",0.4,0.914,1,0.6,1,"Col156","NP_Canu","roary"
"57",0.4,0.934,1,0.6,1,"Col156","NP_Canu_Hybrid_Polished","roary"
"58",0.6,0.948,1,0.8,1,"Col156","NP_SPAdes","roary"
"59",0.4,0.94,1,0.6,1,"Col156","NP_Unicycler","roary"
"60",0.4,0.916,1,0.6,1,"Col156","PB_Canu","roary"
"61",0.4,0.942,1,0.8,1,"Col156","PB_Canu_Hybrid_Polished","roary"
"62",0.4,0.936,1,0.6,1,"Col156","PB_SPAdes","roary"
"63",0,0.933858585858586,1,0.6,1,"Col156","PB_Unicycler","roary"
"64",0,0.73,1,0,1,"Col_MG828","Illumina_SPAdes","roary"
"65",0,0.52,1,0,1,"Col_MG828","NP_Canu","roary"
"66",0,0.7,1,0,1,"Col_MG828","NP_Canu_Hybrid_Polished","roary"
"67",0,0.66,1,0,1,"Col_MG828","NP_SPAdes","roary"
"68",0,0.64,1,0,1,"Col_MG828","NP_Unicycler","roary"
"69",0,0.66,1,0,1,"Col_MG828","PB_Canu","roary"
"70",0,0.75,1,0,1,"Col_MG828","PB_Canu_Hybrid_Polished","roary"
"71",0,0.72,1,0,1,"Col_MG828","PB_SPAdes","roary"
"72",0,0.671313131313131,1,0,1,"Col_MG828","PB_Unicycler","roary"
